Station,Park,Time,GlyphWat,AMPwat,GlyphSed,AMPsed,,,,,,
Phragmites,Crown Marsh,Pre-treatment,0,0,0,0,,,,,,
Pond,Crown Marsh,Pre-treatment,0,0,0,0,,,,,,
0 m,Crown Marsh,Pre-treatment,0,0,0,0,,,,,,
10 m,Crown Marsh,Pre-treatment,0,0,0,0,,,,,,
50 m,Crown Marsh,Pre-treatment,0,0,0,0,,,,,,
100 m,Crown Marsh,Pre-treatment,0,0,0,0,,,,,,
150 m,Crown Marsh,Pre-treatment,0,0,0,0,,,,,,
Phragmites,Crown Marsh,24 hour,0.035,5.45E-03,0.06,4.30E-03,,,,,,
Pond,Crown Marsh,24 hour,0.109416667,3.22E-03,0.025333334,0.001666667,,,,,,
0 m,Crown Marsh,24 hour,0.0677,3.55E-03,0.0055,0,,,,,,
10 m,Crown Marsh,24 hour,0.01275,0,0.0065,0,,,,,,
50 m,Crown Marsh,24 hour,0.0062,0,0,0,,,,,,
100 m,Crown Marsh,24 hour,0.00055,0,0,0,,,,,,
150 m,Crown Marsh,24 hour,0,0,0,0,,,,,,
Phragmites,Rondeau,>20 day,1.75E-03,0,0.06275,0,,,,,,
Pond,Rondeau,>20 day,0,0,0.00975,0,,,,,,
0 m,Rondeau,>20 day,0,0,0.02025,0,,,,,,
10 m,Rondeau,>20 day,0,0,0,0,,,,,,
50 m,Rondeau,>20 day,0,0,0,0,,,,,,
100 m,Rondeau,>20 day,0,0,0,0,,,,,,
150 m,Rondeau,>20 day,0,0,0.00675,0,,,,,,
Phragmites,Crown Marsh,One year,0,0,0.0585,1.00E-03,,,,,,
Pond,Crown Marsh,One year,0,0,0,0,,,,,,
0 m,Crown Marsh,One year,0,0,0,0,,,,,,
10 m,Crown Marsh,One year,0,0,0,0,,,,,,
50 m,Crown Marsh,One year,0,0,0,0,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
